물품 판매 현황					
					
판매번호	지점	분류	품번	수량	단가
17S1001	서울종로지점	목재	OP-3002	5	400000
17S1002	충남천안지점	철재	DP-2010	3	300000
17S1003	경기수원지점	철재	DP-3010	2	350000
17S1004	경기구리지점	목재	OP-2020	4	320000
17S1005	서울종로지점	목재	OP-3002	6	400000
17S1006	서울노원지점	목재	OP-1052	1	270000
17S1007	충남천안지점	철재	DP-1050	4	250000
17S1008	경기안산지점	목재	OP-3002	4	400000
17S1009	경기수원지점	철재	DP-2010	6	300000
17S1010	경기구리지점	목재	OP-1052	5	270000
17S1011	충남천안지점	목재	OP-1052	4	270000
17S1012	경기수원지점	목재	OP-3002	1	400000
17S1013	경기안산지점	목재	OP-2020	6	320000
17S1014	인천계양지점	철재	DP-2010	1	300000
17S1015	충남천안지점	철재	DP-1050	4	250000
17S1016	서울노원지점	철재	DP-2010	2	300000
17S1017	경기수원지점	철재	DP-3010	6	350000
17S1018	경기수원지점	목재	OP-2020	5	320000
17S1019	충남천안지점	철재	DP-1050	4	250000
17S1020	경기구리지점	목재	OP-1052	1	270000
17S1021	충남천안지점	철재	DP-1050	15	250000
17S1022	경기구리지점	목재	OP-3002	4	400000
17S1023	충남천안지점	철재	DP-1050	3	250000
17S1024	경기수원지점	목재	OP-2020	5	320000
17S1025	경기구리지점	철재	DP-3010	6	350000
17S1026	경기구리지점	목재	OP-2020	5	320000
17S1027	충남천안지점	철재	DP-1050	4	250000
17S1028	경기수원지점	목재	OP-1052	1	270000
17S1029	충남천안지점	철재	DP-1050	15	250000
17S1030	경기수원지점	목재	OP-3002	4	400000
17S1031	충남천안지점	철재	DP-2010	3	300000
17S1032	경기구리지점	목재	OP-2020	5	320000
17S1033	경기안산지점	철재	DP-2010	5	300000
17S1034	인천계양지점	목재	OP-1052	5	270000
17S1035	충남천안지점	철재	DP-1050	8	250000
17S1036	서울종로지점	목재	OP-2020	3	320000
17S1037	서울노원지점	철재	DP-2010	1	300000
17S1038	경기수원지점	목재	OP-3002	5	400000
17S1039	경기구리지점	철재	DP-3010	1	350000
17S1040	충남천안지점	목재	OP-1052	6	270000
17S1041	서울노원지점	철재	DP-2010	2	300000
17S1042	인천계양지점	목재	OP-2020	2	320000
17S1043	경기구리지점	철재	DP-2010	5	300000
17S1044	충남천안지점	목재	DP-1050	3	250000
17S1045	경기안산지점	목재	OP-2020	12	320000
17S1046	서울노원지점	목재	OP-1052	1	270000
17S1047	서울노원지점	목재	OP-3002	5	400000
17S1048	충남천안지점	철재	DP-1050	3	250000
17S1049	경기수원지점	목재	OP-1052	3	270000
17S1050	서울노원지점	철재	DP-2010	1	300000
17S1051	충남천안지점	철재	DP-3010	9	350000
17S1052	경기수원지점	목재	OP-2020	8	320000
17S1053	경기안산지점	목재	OP-1052	6	270000
17S1054	서울종로지점	철재	DP-2010	5	300000
17S1055	경기구리지점	철재	DP-1050	7	250000
17S1056	충남천안지점	목재	OP-3002	5	400000
17S1057	경기구리지점	철재	DP-3010	7	350000
17S1058	인천계양지점	목재	OP-1052	1	270000
17S1059	서울노원지점	목재	OP-2020	3	320000
17S1060	경기구리지점	철재	DP-2010	9	300000
17S1061	경기수원지점	목재	OP-1052	5	270000
17S1062	충남천안지점	목재	OP-3002	4	400000
